0,727056
0,712096
0,6874
0,710101
0,695141
0,682176
0,693324
0,688793
0,732043
0,687162
0,716085
0,921536
0,710301
0,708107
0,708169
0,700474
0,693145
0,677189
0,728047
0,681179
0,72225
0,71409
0,69451
0,679182
0,700342
0,709105
0,712094
0,703119
0,735033
0,707108
0,752986
0,748
0,728053
0,720074
0,738027
0,73308
0,741017
0,747352
0,733039
0,741019
0,747004
0,732043
0,737028
0,915552
0,757981
0,692361
0,700128
0,766142
0,859976
1,01329
0,786896
0,829
1,05019
0,804849
0,795871
0,681318
0,694144
0,899594
0,704119
0,847733
1,027
0,893749
0,943478
0,889841
0,990497
0,983448
0,945471
1,01229
1,02825
0,981376
1,0093
1,11103
0,988489
1,03025
1,01752
1,23606
1,29653
1,51227
1,48503
1,32357
